id;name;surname;telephone;address
1;Unbranded Plastic;deposit;1-111-664-;Plaza
2;conglomeration digital generating;Gloves models port;(673) 935-;virtual multi-state
3;Fantastic Soft Pants e-tailers;grey;193.099.21;Factors
4;Soft online;West Virginia Home Loan Account overriding;913-500-31;navigate Ouguiya
5;Metal Indonesia Corporate;Computer violet;344.622.99;Florida Solomon Islands Bedfordshire
6;IB integrate Cheese;Polarised incentivize;874-358-05;Steel
7;even-keeled Pizza HDD;Avon Borders Summit;1-186-359-;incubate reintermediate
8;Intelligent Concrete Salad reintermediate Keyboard;pixel Public-key Money Market Account;408.957.15;feed
9;sky blue Home Loan Account Buckinghamshire;solid state navigating;1-563-206-;PCI software
10;Kansas Towels Fantastic;connecting;(627) 446-;niches Liaison
