id;name;surname;telephone;address
1;Assistant;Generic heuristic;721-664-29;mission-critical auxiliary
2;functionalities;sky blue Consultant Malta;760.858.45;full-range
3;Pa'anga Directives Direct;Villages fuchsia Administrator;(268) 330-;Generic Spurs
4;Specialist copying;protocol;860.772.42;Chicken plum Accounts
5;multi-tasking calculate initiatives;azure;736.869.01;Personal Loan Account Nevada
6;Court Balboa US Dollar FTP;Concrete;(770) 815-;Georgia
7;Robust ivory Ports;Future;886.540.69;redefine
8;Auto Loan Account;Rustic Cotton Table;1-302-496-;Ball invoice
9;Savings Account;Equatorial Guinea Fall compressing;1-631-012-;silver Buckinghamshire Tala
10;Kids Future Egypt;Intranet Ramp Latvian Lats;1-986-618-;system-worthy
