id;name;surname;telephone;vehicule;latitude;longitude
1;Fresh;Fantastic Frozen Shoes Falkland Islands (Malvinas) input;386-148-28;recontextualize;81912;96919
2;program Computers Unbranded Soft Fish;primary RAM Rubber;112.459.36;Universal Movies;24484;77821
3;protocol Central encryption;out-of-the-box Human Guadeloupe;388-842-68;envisioneer Cambridgeshire adapter;19139;12169
4;Gorgeous Steel Table;Lake Principal;(757) 526-;Forward Handcrafted Frozen Table;8363;84416
5;copy Sleek;Avon deposit compress;1-959-954-;Manager;26483;91876
6;Stream Quality Avon;Markets directional initiatives;726.782.66;backing up Shoes;38896;97629
7;Table mobile generate;Monitored hard drive orchestrate;879.235.68;monitor array;36880;82853
8;reciprocal;transmitter virtual Communications;1-392-920-;killer mobile;19956;17082
9;Wooden Assurance;Fiji Dollar Alaska;447.428.79;connecting Lead;49103;15434
10;protocol Technician;artificial intelligence;(856) 801-;copying;47723;74122
